living_area_sqm,asking_price_sek,typology
53.0,2250000.0,APARTMENT
27.0,1535000.0,APARTMENT
58.5,1450000.0,APARTMENT
51.0,995000.0,APARTMENT
78.5,4250000.0,APARTMENT
332.0,3995000.0,HOUSE
61.5,2600000.0,APARTMENT
96.0,3995000.0,APARTMENT
39.0,625000.0,APARTMENT
108.0,5450000.0,APARTMENT
31.0,5295000.0,APARTMENT
56.4,290000.0,APARTMENT
46.0,2490000.0,APARTMENT
45.0,2295000.0,APARTMENT
77.0,1795000.0,APARTMENT
49.0,2195000.0,APARTMENT
140.0,1395000.0,APARTMENT
64.0,925000.0,APARTMENT
234.0,4975000.0,HOUSE
41.0,1295000.0,APARTMENT
71.0,495000.0,APARTMENT
129.0,1195000.0,HOUSE
156.0,2990000.0,ROW_HOUSE
57.0,1890000.0,APARTMENT
62.0,2995000.0,APARTMENT
33.5,350000.0,APARTMENT
65.0,2595000.0,APARTMENT
140.0,3100000.0,HOUSE
296.0,5750000.0,HOUSE
388.0,4995000.0,HOUSE
26.5,695000.0,APARTMENT
160.0,6650000.0,HOUSE
56.0,3100000.0,APARTMENT
172.0,2800000.0,HOUSE
35.0,1595000.0,APARTMENT
61.5,1795000.0,APARTMENT
37.8,1695000.0,APARTMENT
114.0,3990000.0,APARTMENT
85.0,2145000.0,APARTMENT
34.0,1995000.0,APARTMENT
51.0,4250000.0,APARTMENT
60.0,995000.0,APARTMENT
92.5,6995000.0,APARTMENT
89.0,3195000.0,APARTMENT
53.0,2249000.0,APARTMENT
56.5,1250000.0,APARTMENT
30.0,1100000.0,APARTMENT
59.5,550000.0,APARTMENT
199.0,1995000.0,HOUSE
68.0,1995000.0,APARTMENT
37.0,1895000.0,APARTMENT
95.0,2495000.0,HOUSE
37.0,1595000.0,APARTMENT
74.0,2495000.0,ROW_HOUSE
60.0,2795000.0,APARTMENT
38.0,850000.0,APARTMENT
77.0,1495000.0,APARTMENT
59.0,2095000.0,APARTMENT
69.0,1390000.0,APARTMENT
141.0,2595000.0,HOUSE
38.0,1995000.0,APARTMENT
34.0,1850000.0,APARTMENT
165.0,5195000.0,ROW_HOUSE
101.0,4495000.0,APARTMENT
67.0,3395000.0,APARTMENT
42.0,895000.0,APARTMENT
43.0,3995000.0,APARTMENT
59.0,1695000.0,APARTMENT
119.0,1450000.0,HOUSE
82.5,1475000.0,APARTMENT
69.0,2395000.0,APARTMENT
102.2,2300000.0,ROW_HOUSE
232.0,3995000.0,HOUSE
72.0,3295000.0,APARTMENT
59.0,1645000.0,APARTMENT
35.0,1695000.0,APARTMENT
89.5,4995000.0,APARTMENT
65.0,1990000.0,APARTMENT
80.0,6295000.0,APARTMENT
95.0,4995000.0,APARTMENT
33.8,1695000.0,APARTMENT
40.5,995000.0,APARTMENT
114.0,2495000.0,ROW_HOUSE
180.0,1795000.0,HOUSE
41.2,1050000.0,APARTMENT
45.8,1995000.0,APARTMENT
50.0,1845000.0,APARTMENT
26.8,1495000.0,APARTMENT
41.0,1250000.0,APARTMENT
70.0,2250000.0,APARTMENT
118.0,4390000.0,ROW_HOUSE
71.0,2980000.0,APARTMENT
35.0,2495000.0,APARTMENT
136.0,5350000.0,HOUSE
77.0,785000.0,APARTMENT
177.0,7500000.0,HOUSE
54.5,1345000.0,APARTMENT
74.0,3695000.0,APARTMENT
55.0,395000.0,APARTMENT
144.0,3390000.0,ROW_HOUSE
203.0,4495000.0,APARTMENT
