municipality,typology,latitude,longitude,observations,median_asking_price,median_sqm_price
Ale kommun,APARTMENT,57.847957550000004,12.023709499999999,12,1985000.0,30468.112572788952
Alingsås kommun,APARTMENT,57.928396383000006,12.53090596005,50,2175000.0,31160.714285714286
Alvesta kommun,APARTMENT,56.8994675,14.5542679,1,425000.0,9550.561797752809
Aneby kommun,APARTMENT,57.83261,14.81454,1,520000.0,6582.278481012659
Arboga kommun,APARTMENT,59.39122979999999,15.8402005,2,935000.0,11675.523838445188
Arvika kommun,APARTMENT,59.65567755,12.60341975,2,555000.0,10036.231884057972
Askersunds kommun,APARTMENT,58.8864665,14.909423,2,660000.0,10618.183367416495
Avesta kommun,APARTMENT,60.1440035914,16.16675,11,550000.0,9718.30985915493
Bergs kommun,APARTMENT,62.5031281,14.1759925,7,2950000.0,33928.57142857143
Bjuvs kommun,APARTMENT,56.07968,12.928791,5,595000.0,9858.156028368794
Bodens kommun,APARTMENT,65.81451280968375,21.710346983135963,2,545000.0,11376.096491228069
Bollebygds kommun,APARTMENT,57.663399749999996,12.552126600000001,2,2485000.0,34856.27177700348
Borgholms kommun,APARTMENT,56.87878660381251,16.66233153535,6,3172500.0,38998.39743589744
Borlänge kommun,APARTMENT,60.48869171186642,15.425825,32,995000.0,16295.996297153437
Borås kommun,APARTMENT,57.72306,12.9437618,103,1295000.0,21985.29411764706
Botkyrka kommun,APARTMENT,59.205439999999996,17.8348,70,1895000.0,32181.05350869291
Bromölla kommun,APARTMENT,56.068356,14.4784565,1,375000.0,5281.69014084507
Burlövs kommun,APARTMENT,55.63591597715,13.0795080971,6,1422500.0,20823.999565028273
Båstads kommun,APARTMENT,56.427599427299995,12.863358,10,2145000.0,31858.97435897436
Dals-Eds kommun,APARTMENT,58.90625762939453,11.943970680236816,1,220000.0,4313.725490196079
Danderyds kommun,APARTMENT,59.40294,18.04167,13,3850000.0,59272.997032640946
Ekerö kommun,APARTMENT,59.2788734,17.78413,3,2995000.0,46610.16949152543
Eksjö kommun,APARTMENT,57.664045,14.953097,2,1000000.0,12617.924528301886
Emmaboda kommun,APARTMENT,56.6160412,15.5652577,1,100000.0,1709.4017094017095
Enköpings kommun,APARTMENT,59.6380157,17.0816168825,23,1695000.0,25474.452554744526
Eskilstuna kommun,APARTMENT,59.37494,16.5154457,67,1495000.0,22547.169811320753
Eslövs kommun,APARTMENT,55.84235337865,13.30121285,10,1272500.0,17347.89426523297
Fagersta kommun,APARTMENT,59.9981116711,15.8163857462,3,325000.0,4350.736278447122
Falkenbergs kommun,APARTMENT,56.90840949685,12.4933977699,34,1425000.0,22836.868686868685
Falköpings kommun,APARTMENT,58.1717726403391,13.559309100807049,2,230000.0,4691.414779910355
Falu kommun,APARTMENT,60.609682,15.633714999999999,32,1495000.0,25175.721997438486
Finspångs kommun,APARTMENT,58.707833259684236,15.753800986300831,4,345000.0,8453.241656092308
Färgelanda kommun,APARTMENT,58.55600526439606,11.988658654793486,2,700000.0,7836.7135613797045
Gislaveds kommun,APARTMENT,57.1661881,13.414111,3,650000.0,8496.73202614379
Gotlands kommun,APARTMENT,57.635826699999996,18.301015800000002,20,2495000.0,42781.25
Gällivare kommun,APARTMENT,67.13338,20.66014,7,1550000.0,17857.14285714286
Gävle kommun,APARTMENT,60.6715279,17.1465759,107,1425000.0,25090.909090909092
Göteborgs kommun,APARTMENT,57.70967,11.94373925,752,2495000.0,44904.65465465466
Habo kommun,APARTMENT,57.8959,14.079,3,2145000.0,25675.675675675677
Hallsbergs kommun,APARTMENT,59.06673455,15.1048303,2,377500.0,10500.0
Hallstahammars kommun,APARTMENT,59.58983,16.2343526,2,565000.0,10514.731827805223
Halmstads kommun,APARTMENT,56.67210745,12.8570502,64,2092500.0,29991.685529660215
Hammarö kommun,APARTMENT,59.3213236547,13.4713955,33,675000.0,13043.478260869566
Haninge kommun,APARTMENT,59.17389489999999,18.13758836865,96,1795000.0,33315.982404692084
Haparanda kommun,APARTMENT,65.8316422975,24.121901653000002,2,212500.0,4037.8289473684213
Heby kommun,APARTMENT,60.1810722,17.1850338,1,1995000.0,26250.0
Hedemora kommun,APARTMENT,60.2826751472,15.9879182928,1,495000.0,7279.411764705882
Helsingborgs kommun,APARTMENT,56.0511819,12.7038951,174,1825000.0,27537.163519485737
Herrljunga kommun,APARTMENT,57.9904747,13.08703,1,700000.0,7954.545454545455
Hjo kommun,APARTMENT,58.3081165,14.292547500000001,2,412500.0,7964.270432178006
Huddinge kommun,APARTMENT,59.23405375,17.9909408,86,1995000.0,41345.47645532073
Hudiksvalls kommun,APARTMENT,61.73364312677886,17.10437054925,8,1195000.0,21718.25884925516
Hultsfreds kommun,APARTMENT,57.487648,15.843162,1,460000.0,6117.021276595745
Härjedalens kommun,APARTMENT,62.49077975,13.93378405,14,3085000.0,43282.86082474227
Härnösands kommun,APARTMENT,62.6386925,17.94998,5,275000.0,5500.0
Härryda kommun,APARTMENT,57.660393,12.12012,13,3495000.0,50625.0
Hässleholms kommun,APARTMENT,56.158159999999995,13.75496055,12,872500.0,14175.584980954109
Håbo kommun,APARTMENT,59.562136,17.5343125,8,1922500.0,30876.234567901236
Höganäs kommun,APARTMENT,56.1906075817919,12.5717894024698,17,2395000.0,26869.158878504673
Hörby kommun,APARTMENT,55.852497,13.66615,1,850000.0,14166.666666666666
